Item Name,Category,Price,Unit,Active
Whole Chicken W / Skin,Regular Chicken,3.49,lb,TRUE
Whole Chicken W / O Skin,Regular Chicken,4.49,lb,TRUE
Baby Chicken W / Skin *Machine Cut,Regular Chicken,3.99,lb,TRUE
Baby Chicken W / O Skin *Machine Cut,Regular Chicken,4.99,lb,TRUE
Chicken Breast - Boneless *Machine Cut,Regular Chicken,5.99,lb,TRUE
Chicken Leg / Thigh Bone-In W/Skin,Regular Chicken,2.29,lb,TRUE
Chicken Leg / Thigh Bone-In W/O Skin,Regular Chicken,3.29,lb,TRUE
Chicken Drumsticks W / Skin,Regular Chicken,2.49,lb,TRUE
Chicken Drumsticks W/O Skin,Regular Chicken,3.49,lb,TRUE
Chicken Thigh Bone In W / Skin,Regular Chicken,2.29,lb,TRUE
Chicken Thigh Bone In W/O Skin,Regular Chicken,2.99,lb,TRUE
Chicken Thigh Boneless *Machine Cut,Regular Chicken,4.99,lb,TRUE
Ground Chicken - THIGH,Regular Chicken,4.99,lb,TRUE
Ground Chicken - BREAST,Regular Chicken,5.99,lb,TRUE
Ground Chicken - MIX,Regular Chicken,5.49,lb,TRUE
Chicken Whole Wings,Regular Chicken,4.99,lb,TRUE
Chicken Leg (HALF BOX),Regular Chicken,44.99,box,TRUE
Chicken Leg (FULL BOX),Regular Chicken,74.99,box,TRUE
Chicken Soup Bones,Regular Chicken,1.99,lb,TRUE
Whole Chicken - ABF W / Skin,ABF Chicken,3.99,lb,TRUE
Whole Chicken - ABF W / O Skin,ABF Chicken,4.99,lb,TRUE
Chicken Breast Boneless - ABF,ABF Chicken,6.99,lb,TRUE
Chicken Breast Strips - ABF,ABF Chicken,6.99,lb,TRUE
Chicken Breast Cubes - ABF,ABF Chicken,6.99,lb,TRUE
Chicken Breast Tenders - ABF,ABF Chicken,6.99,lb,TRUE
Chicken Leg/Thigh Bone-In-ABF W / Skin,ABF Chicken,2.99,lb,TRUE
Chicken Leg/Thigh Bone-In-ABF W/O Skin,ABF Chicken,3.99,lb,TRUE
Chicken Drumsticks - ABF W / Skin,ABF Chicken,2.99,lb,TRUE
Chicken Drumsticks-ABF W/O Skin,ABF Chicken,3.99,lb,TRUE
Chicken Thigh Bone-In - ABF W / Skin,ABF Chicken,2.99,lb,TRUE
Chicken Thigh Bone-In-ABF W/O Skin,ABF Chicken,3.99,lb,TRUE
Chicken Thigh Boneless - ABF,ABF Chicken,6.99,lb,TRUE
Ground Chicken THIGH - ABF,ABF Chicken,6.99,lb,TRUE
Ground Chicken BREAST - ABF,ABF Chicken,6.99,lb,TRUE
Ground Chicken MIX - ABF,ABF Chicken,6.99,lb,TRUE
Chicken Leg - ABF (FULL BOX),ABF Chicken,94.99,box,TRUE
Chicken Leg - ABF (HALF BOX),ABF Chicken,49.99,box,TRUE
Chicken Liver,ABF Chicken,3.99,lb,TRUE
Chicken Thigh Boneless-ABF(Box),ABF Chicken,220.00,box,TRUE
Chicken Breast ABF - (FULL BOX),ABF Chicken,239.99,box,TRUE
Chicken Leg / Thigh - Marinated,Marinated Chicken,3.99,lb,TRUE
Chicken Breast Boneless - Marinated,Marinated Chicken,7.99,lb,TRUE
Chicken Thigh Boneless - Marinated,Marinated Chicken,5.99,lb,TRUE
Chicken Thigh ABF - Marinated,Marinated Chicken,4.99,lb,TRUE
Chicken Breast Boneless - ABF Marinated,Marinated Chicken,7.99,lb,TRUE
Chicken Thigh Boneless - ABF Marinated,Marinated Chicken,7.99,lb,TRUE
Chicken Wings - Marinated,Marinated Chicken,5.99,lb,TRUE
Chicken Sausages,Marinated Chicken,7.99,lb,TRUE
Chicken Seekh Kabab,Marinated Chicken,7.99,lb,TRUE
Chicken Qeema Masala,Marinated Chicken,7.99,lb,TRUE
